week_start,split,StockCode,primary_units,deduplicated_units,same_week_reversal_units,training_p99_capped_units
2009-12-28,train,84755,0,0,0,0
2009-12-28,train,84879,0,0,0,0
2009-12-28,train,84946,0,0,0,0
2009-12-28,train,84991,0,0,0,0
2009-12-28,train,84992,0,0,0,0
2009-12-28,train,85099B,0,0,0,0
2009-12-28,train,85099C,0,0,0,0
2009-12-28,train,85099F,0,0,0,0
2009-12-28,train,85123A,0,0,0,0
2010-01-04,train,15036,192,192,192,192
2010-01-04,train,16014,0,0,0,0
2010-01-04,train,17003,2,2,2,2
2010-01-04,train,20725,294,284,294,294
2010-01-04,train,21212,207,207,207,207
2010-01-04,train,21213,207,207,207,207
2010-01-04,train,21232,737,737,737,737
2010-01-04,train,21977,150,150,150,150
2010-01-04,train,21980,168,168,168,168
2010-01-04,train,21982,0,0,0,0
2010-01-04,train,21984,156,156,156,156
2010-01-04,train,22086,0,0,0,0
2010-01-04,train,22178,72,72,72,72
2010-01-04,train,22197,21,21,21,21
2010-01-04,train,22386,0,0,0,0
2010-01-04,train,71459,612,612,612,324
2010-01-04,train,84077,336,336,336,336
2010-01-04,train,84270,1140,1140,1140,300
2010-01-04,train,84347,0,0,0,0
2010-01-04,train,84568,0,0,0,0
2010-01-04,train,84598,0,0,0,0
2010-01-04,train,84755,72,72,72,72
2010-01-04,train,84879,160,160,160,160
2010-01-04,train,84946,132,132,132,132
2010-01-04,train,84991,480,480,480,480
2010-01-04,train,84992,397,397,397,397
2010-01-04,train,85099B,712,712,712,612
2010-01-04,train,85099C,184,174,184,184
2010-01-04,train,85099F,48,48,48,48
2010-01-04,train,85123A,1577,1577,1577,873
2010-01-11,train,15036,30,30,30,30
2010-01-11,train,16014,10,10,10,10
2010-01-11,train,17003,758,758,758,758
2010-01-11,train,20725,170,170,170,170
2010-01-11,train,21212,433,433,433,433
2010-01-11,train,21213,380,380,380,380
2010-01-11,train,21232,366,366,366,366
2010-01-11,train,21977,192,192,192,192
2010-01-11,train,21980,56,56,56,56
2010-01-11,train,21982,0,0,0,0
2010-01-11,train,21984,1,1,1,1
2010-01-11,train,22086,14,14,14,14
2010-01-11,train,22178,74,74,74,74
2010-01-11,train,22197,72,72,72,72
2010-01-11,train,22386,0,0,0,0
2010-01-11,train,71459,326,326,326,326
2010-01-11,train,84077,384,384,384,384
2010-01-11,train,84270,137,137,137,137
2010-01-11,train,84347,0,0,0,0
2010-01-11,train,84568,29,29,29,29
2010-01-11,train,84598,17,17,17,17
2010-01-11,train,84755,42,42,42,42
2010-01-11,train,84879,209,209,209,209
2010-01-11,train,84946,66,66,66,66
2010-01-11,train,84991,429,429,429,429
2010-01-11,train,84992,543,543,543,543
2010-01-11,train,85099B,879,879,879,879
2010-01-11,train,85099C,449,449,449,449
2010-01-11,train,85099F,246,246,246,246
2010-01-11,train,85123A,845,843,845,845
2010-01-18,train,15036,118,118,118,118
2010-01-18,train,16014,10,10,10,10
2010-01-18,train,17003,51,51,51,51
2010-01-18,train,20725,417,417,417,417
2010-01-18,train,21212,915,915,915,915
2010-01-18,train,21213,568,568,568,568
2010-01-18,train,21232,453,453,453,381
2010-01-18,train,21977,416,416,416,416
2010-01-18,train,21980,2,2,2,2
2010-01-18,train,21982,0,0,0,0
2010-01-18,train,21984,48,48,48,48
2010-01-18,train,22086,3,3,3,3
2010-01-18,train,22178,80,79,80,80
2010-01-18,train,22197,23,23,23,23
2010-01-18,train,22386,0,0,0,0
2010-01-18,train,71459,96,96,96,96
2010-01-18,train,84077,195,195,195,195
2010-01-18,train,84270,213,213,213,213
2010-01-18,train,84347,9,9,9,9
2010-01-18,train,84568,19,19,19,19
2010-01-18,train,84598,10,10,10,10
2010-01-18,train,84755,146,146,146,146
2010-01-18,train,84879,737,737,737,737
2010-01-18,train,84946,158,158,158,158
2010-01-18,train,84991,658,658,658,658
2010-01-18,train,84992,668,639,668,668
2010-01-18,train,85099B,517,517,517,517
2010-01-18,train,85099C,92,92,92,92
2010-01-18,train,85099F,273,273,273,273
2010-01-18,train,85123A,917,917,917,917
2010-01-25,train,15036,59,59,59,59
2010-01-25,train,16014,0,0,0,0
2010-01-25,train,17003,150,150,150,150
2010-01-25,train,20725,274,274,274,274
2010-01-25,train,21212,773,773,773,773
2010-01-25,train,21213,151,150,151,151
2010-01-25,train,21232,424,424,424,424
2010-01-25,train,21977,368,368,368,368
2010-01-25,train,21980,72,72,72,72
2010-01-25,train,21982,0,0,0,0
2010-01-25,train,21984,60,60,60,60
2010-01-25,train,22086,0,0,0,0
2010-01-25,train,22178,224,224,224,224
2010-01-25,train,22197,590,590,590,590
2010-01-25,train,22386,114,114,114,114
2010-01-25,train,71459,181,181,181,181
2010-01-25,train,84077,432,432,432,432
2010-01-25,train,84270,362,362,362,362
2010-01-25,train,84347,1,1,1,1
2010-01-25,train,84568,5,5,5,5
2010-01-25,train,84598,11,11,11,11
2010-01-25,train,84755,186,186,186,186
2010-01-25,train,84879,203,203,203,203
2010-01-25,train,84946,124,124,124,124
2010-01-25,train,84991,374,374,374,374
2010-01-25,train,84992,919,919,919,919
2010-01-25,train,85099B,404,404,404,404
2010-01-25,train,85099C,213,213,213,213
2010-01-25,train,85099F,120,120,120,120
2010-01-25,train,85123A,1364,1364,1364,1292
2010-02-01,train,15036,36,36,36,36
2010-02-01,train,16014,20,20,20,20
2010-02-01,train,17003,806,806,806,806
2010-02-01,train,20725,186,186,186,186
2010-02-01,train,21212,710,708,710,710
2010-02-01,train,21213,177,177,177,177
2010-02-01,train,21232,382,377,382,382
2010-02-01,train,21977,201,201,201,201
2010-02-01,train,21980,209,209,209,209
2010-02-01,train,21982,0,0,0,0
2010-02-01,train,21984,12,12,12,12
2010-02-01,train,22086,0,0,0,0
2010-02-01,train,22178,54,54,54,54
2010-02-01,train,22197,81,81,81,81
2010-02-01,train,22386,328,326,328,328
2010-02-01,train,71459,12,12,12,12
2010-02-01,train,84077,576,576,576,576
2010-02-01,train,84270,220,220,220,220
2010-02-01,train,84347,0,0,0,0
2010-02-01,train,84568,27,27,27,27
2010-02-01,train,84598,41,41,41,41
2010-02-01,train,84755,17,17,17,17
2010-02-01,train,84879,226,226,226,226
2010-02-01,train,84946,359,359,359,359
2010-02-01,train,84991,424,424,424,424
2010-02-01,train,84992,368,368,368,368
2010-02-01,train,85099B,448,438,448,448
2010-02-01,train,85099C,248,238,248,248
2010-02-01,train,85099F,147,147,147,147
2010-02-01,train,85123A,677,677,677,677
2010-02-08,train,15036,98,98,98,98
2010-02-08,train,16014,10,10,10,10
2010-02-08,train,17003,151,151,151,151
2010-02-08,train,20725,183,181,183,183
2010-02-08,train,21212,713,713,713,713
2010-02-08,train,21213,463,463,463,463
2010-02-08,train,21232,290,288,290,290
2010-02-08,train,21977,540,540,540,540
2010-02-08,train,21980,123,123,123,123
2010-02-08,train,21982,0,0,0,0
2010-02-08,train,21984,12,12,12,12
2010-02-08,train,22086,0,0,0,0
2010-02-08,train,22178,86,86,86,86
2010-02-08,train,22197,68,68,68,68
2010-02-08,train,22386,244,241,244,244
2010-02-08,train,71459,421,421,421,421
2010-02-08,train,84077,192,192,192,192
2010-02-08,train,84270,192,192,192,192
2010-02-08,train,84347,3,3,3,3
2010-02-08,train,84568,288,288,288,288
2010-02-08,train,84598,288,288,288,288
2010-02-08,train,84755,122,122,122,122
2010-02-08,train,84879,512,504,512,512
2010-02-08,train,84946,70,70,70,70
2010-02-08,train,84991,451,451,451,451
2010-02-08,train,84992,496,496,496,496
2010-02-08,train,85099B,547,547,547,547
2010-02-08,train,85099C,277,277,277,277
2010-02-08,train,85099F,167,167,167,167
2010-02-08,train,85123A,574,574,574,574
2010-02-15,train,15036,214,214,214,214
2010-02-15,train,16014,1,1,1,1
2010-02-15,train,17003,829,829,829,829
2010-02-15,train,20725,332,332,332,332
2010-02-15,train,21212,857,857,857,857
2010-02-15,train,21213,337,337,337,337
2010-02-15,train,21232,171,171,171,171
2010-02-15,train,21977,407,406,407,407
2010-02-15,train,21980,305,305,305,305
2010-02-15,train,21982,0,0,0,0
2010-02-15,train,21984,50,50,50,50
2010-02-15,train,22086,0,0,0,0
2010-02-15,train,22178,62,62,62,62
2010-02-15,train,22197,19,19,19,19
2010-02-15,train,22386,510,510,510,510
2010-02-15,train,71459,829,829,829,733
2010-02-15,train,84077,624,624,624,624
2010-02-15,train,84270,990,990,990,330
2010-02-15,train,84347,0,0,0,0
2010-02-15,train,84568,581,581,581,581
2010-02-15,train,84598,297,297,297,297
2010-02-15,train,84755,161,161,161,161
2010-02-15,train,84879,587,587,587,587
2010-02-15,train,84946,90,90,90,90
2010-02-15,train,84991,609,609,609,609
2010-02-15,train,84992,239,238,239,239
2010-02-15,train,85099B,1004,1004,1004,804
2010-02-15,train,85099C,521,521,521,521
2010-02-15,train,85099F,578,578,578,378
2010-02-15,train,85123A,669,669,669,669
2010-02-22,train,15036,103,103,103,103
2010-02-22,train,16014,3,3,3,3
2010-02-22,train,17003,109,109,109,109
2010-02-22,train,20725,262,262,262,262
2010-02-22,train,21212,1459,1459,1459,1219
2010-02-22,train,21213,165,165,165,165
2010-02-22,train,21232,531,530,531,531
2010-02-22,train,21977,907,907,907,667
2010-02-22,train,21980,350,350,350,350
2010-02-22,train,21982,0,0,0,0
2010-02-22,train,21984,0,0,0,0
2010-02-22,train,22086,0,0,0,0
2010-02-22,train,22178,139,139,139,139
2010-02-22,train,22197,1307,1307,1307,803
2010-02-22,train,22386,530,530,530,530
2010-02-22,train,71459,365,365,365,365
2010-02-22,train,84077,576,576,576,576
2010-02-22,train,84270,271,271,271,271
2010-02-22,train,84347,0,0,0,0
2010-02-22,train,84568,8,8,8,8
2010-02-22,train,84598,5,5,5,5
2010-02-22,train,84755,200,200,200,200
2010-02-22,train,84879,286,286,286,286
2010-02-22,train,84946,146,146,146,146
2010-02-22,train,84991,507,507,507,507
2010-02-22,train,84992,122,122,122,122
2010-02-22,train,85099B,613,613,613,613
2010-02-22,train,85099C,159,159,159,159
2010-02-22,train,85099F,96,96,96,96
2010-02-22,train,85123A,719,719,719,719
2010-03-01,train,15036,194,194,194,194
2010-03-01,train,16014,0,0,0,0
2010-03-01,train,17003,184,184,184,184
2010-03-01,train,20725,279,274,279,279
2010-03-01,train,21212,959,954,959,959
2010-03-01,train,21213,869,869,869,869
2010-03-01,train,21232,724,724,724,580
2010-03-01,train,21977,748,748,748,748
2010-03-01,train,21980,252,252,252,252
2010-03-01,train,21982,0,0,0,0
2010-03-01,train,21984,4,4,4,4
2010-03-01,train,22086,3,3,3,3
2010-03-01,train,22178,242,230,242,242
2010-03-01,train,22197,121,121,121,121
2010-03-01,train,22386,276,276,276,276
2010-03-01,train,71459,132,132,132,132
2010-03-01,train,84077,960,960,960,960
2010-03-01,train,84270,392,392,392,392
2010-03-01,train,84347,0,0,0,0
2010-03-01,train,84568,0,0,0,0
2010-03-01,train,84598,27,27,27,27
2010-03-01,train,84755,209,201,209,209
2010-03-01,train,84879,527,527,527,527
2010-03-01,train,84946,249,249,249,249
2010-03-01,train,84991,720,719,720,720
2010-03-01,train,84992,388,388,388,388
2010-03-01,train,85099B,724,724,724,524
2010-03-01,train,85099C,409,409,409,409
2010-03-01,train,85099F,415,415,415,315
2010-03-01,train,85123A,766,762,766,766
2010-03-08,train,15036,104,104,104,104
2010-03-08,train,16014,0,0,0,0
2010-03-08,train,17003,21,21,21,21
2010-03-08,train,20725,327,327,327,327
2010-03-08,train,21212,473,473,353,473
2010-03-08,train,21213,236,236,236,236
2010-03-08,train,21232,361,361,361,361
2010-03-08,train,21977,189,189,189,189
2010-03-08,train,21980,266,266,266,266
2010-03-08,train,21982,62,62,62,62
2010-03-08,train,21984,54,52,54,54
2010-03-08,train,22086,0,0,0,0
2010-03-08,train,22178,338,338,338,338
2010-03-08,train,22197,35,35,35,35
2010-03-08,train,22386,185,184,185,185
2010-03-08,train,71459,144,144,144,144
2010-03-08,train,84077,528,528,528,528
2010-03-08,train,84270,316,316,316,316
2010-03-08,train,84347,0,0,0,0
2010-03-08,train,84568,1780,1780,1780,1780
2010-03-08,train,84598,1456,1456,1456,1456
2010-03-08,train,84755,282,282,282,282
2010-03-08,train,84879,669,669,669,669
2010-03-08,train,84946,181,181,181,181
2010-03-08,train,84991,392,392,392,392
2010-03-08,train,84992,87,87,87,87
2010-03-08,train,85099B,760,760,760,760
2010-03-08,train,85099C,163,163,163,163
2010-03-08,train,85099F,159,159,159,159
2010-03-08,train,85123A,848,848,848,848
2010-03-15,train,15036,711,711,711,711
2010-03-15,train,16014,1010,1010,1010,1010
2010-03-15,train,17003,792,792,792,792
2010-03-15,train,20725,385,375,385,385
2010-03-15,train,21212,1254,1253,1254,1014
2010-03-15,train,21213,782,782,782,782
2010-03-15,train,21232,597,597,597,597
2010-03-15,train,21977,624,622,624,624
2010-03-15,train,21980,136,136,136,136
2010-03-15,train,21982,160,160,160,160
2010-03-15,train,21984,123,122,123,123
2010-03-15,train,22086,12,12,12,12
2010-03-15,train,22178,148,142,148,148
2010-03-15,train,22197,778,778,778,778
2010-03-15,train,22386,119,119,119,119
2010-03-15,train,71459,264,264,264,264
2010-03-15,train,84077,2592,2592,2592,2592
2010-03-15,train,84270,124,124,124,124
2010-03-15,train,84347,0,0,0,0
2010-03-15,train,84568,890,890,890,890
2010-03-15,train,84598,884,884,884,884
2010-03-15,train,84755,1664,1656,1664,1232
2010-03-15,train,84879,423,423,423,423
2010-03-15,train,84946,97,91,97,97
2010-03-15,train,84991,589,589,589,589
2010-03-15,train,84992,422,422,422,422
2010-03-15,train,85099B,465,465,465,465
2010-03-15,train,85099C,169,169,169,169
2010-03-15,train,85099F,293,293,293,293
2010-03-15,train,85123A,1478,1472,1478,966
2010-03-22,train,15036,117,117,117,117
2010-03-22,train,16014,0,0,0,0
2010-03-22,train,17003,0,0,0,0
2010-03-22,train,20725,157,156,157,157
2010-03-22,train,21212,664,664,664,664
2010-03-22,train,21213,151,151,151,151
2010-03-22,train,21232,296,296,296,296
2010-03-22,train,21977,582,582,582,582
2010-03-22,train,21980,10070,10070,10070,502
2010-03-22,train,21982,11366,11366,11366,1430
2010-03-22,train,21984,11061,11061,11061,1789
2010-03-22,train,22086,0,0,0,0
2010-03-22,train,22178,321,321,321,321
2010-03-22,train,22197,91,89,91,91
2010-03-22,train,22386,427,427,427,427
2010-03-22,train,71459,137,137,137,137
2010-03-22,train,84077,387,387,387,387
2010-03-22,train,84270,426,426,426,426
2010-03-22,train,84347,0,0,0,0
2010-03-22,train,84568,906,906,906,906
2010-03-22,train,84598,589,589,589,589
2010-03-22,train,84755,833,833,833,833
2010-03-22,train,84879,632,632,600,632
2010-03-22,train,84946,261,261,261,261
2010-03-22,train,84991,595,595,595,595
2010-03-22,train,84992,274,274,274,274
2010-03-22,train,85099B,690,689,690,690
2010-03-22,train,85099C,396,396,396,396
2010-03-22,train,85099F,256,256,256,256
2010-03-22,train,85123A,788,788,788,788
2010-03-29,train,15036,785,785,785,785
2010-03-29,train,16014,60,60,60,60
2010-03-29,train,17003,0,0,0,0
2010-03-29,train,20725,325,325,325,325
2010-03-29,train,21212,559,559,559,559
2010-03-29,train,21213,143,143,143,143
2010-03-29,train,21232,283,283,283,283
2010-03-29,train,21977,138,136,138,138
2010-03-29,train,21980,75,75,75,75
2010-03-29,train,21982,219,219,219,219
2010-03-29,train,21984,97,97,97,97
2010-03-29,train,22086,2,2,2,2
2010-03-29,train,22178,166,166,124,166
2010-03-29,train,22197,423,423,423,423
2010-03-29,train,22386,321,321,321,321
2010-03-29,train,71459,153,153,153,153
2010-03-29,train,84077,192,192,192,192
2010-03-29,train,84270,330,300,330,330
2010-03-29,train,84347,0,0,0,0
2010-03-29,train,84568,596,596,596,596
2010-03-29,train,84598,589,589,589,589
2010-03-29,train,84755,443,419,443,443
2010-03-29,train,84879,323,323,323,323
2010-03-29,train,84946,279,279,279,279
2010-03-29,train,84991,265,265,265,265
2010-03-29,train,84992,39,39,39,39
2010-03-29,train,85099B,388,388,388,388
2010-03-29,train,85099C,84,84,84,84
2010-03-29,train,85099F,334,334,334,334
2010-03-29,train,85123A,900,900,900,761
2010-04-05,train,15036,184,184,184,184
2010-04-05,train,16014,0,0,0,0
2010-04-05,train,17003,61,61,61,61
2010-04-05,train,20725,288,286,288,288
2010-04-05,train,21212,1604,1604,1604,1124
2010-04-05,train,21213,636,636,636,636
2010-04-05,train,21232,215,213,215,215
2010-04-05,train,21977,491,491,491,491
2010-04-05,train,21980,157,157,157,157
2010-04-05,train,21982,254,254,254,254
2010-04-05,train,21984,108,108,108,108
2010-04-05,train,22086,0,0,0,0
2010-04-05,train,22178,106,106,106,106
2010-04-05,train,22197,716,716,716,716
2010-04-05,train,22386,164,164,164,164
2010-04-05,train,71459,282,282,282,282
2010-04-05,train,84077,1393,1393,1393,1393
2010-04-05,train,84270,1652,1652,1652,452
2010-04-05,train,84347,6,6,6,6
2010-04-05,train,84568,600,600,600,600
2010-04-05,train,84598,3,3,3,3
2010-04-05,train,84755,893,885,893,461
2010-04-05,train,84879,736,736,736,736
2010-04-05,train,84946,252,252,252,252
2010-04-05,train,84991,747,746,747,507
2010-04-05,train,84992,295,295,295,295
2010-04-05,train,85099B,416,416,416,416
2010-04-05,train,85099C,175,175,175,175
2010-04-05,train,85099F,271,270,271,271
2010-04-05,train,85123A,909,905,909,717
2010-04-12,train,15036,96,96,96,96
2010-04-12,train,16014,10,10,10,10
2010-04-12,train,17003,0,0,0,0
2010-04-12,train,20725,357,355,357,357
2010-04-12,train,21212,460,460,460,460
2010-04-12,train,21213,291,291,291,291
2010-04-12,train,21232,212,204,212,212
2010-04-12,train,21977,481,481,481,481
2010-04-12,train,21980,108,108,108,108
2010-04-12,train,21982,183,183,183,183
2010-04-12,train,21984,228,228,228,228
2010-04-12,train,22086,0,0,0,0
2010-04-12,train,22178,177,159,177,177
2010-04-12,train,22197,224,224,224,224
2010-04-12,train,22386,198,198,198,198
2010-04-12,train,71459,336,336,336,336
2010-04-12,train,84077,431,431,431,431
2010-04-12,train,84270,270,270,270,270
2010-04-12,train,84347,0,0,0,0
2010-04-12,train,84568,0,0,0,0
2010-04-12,train,84598,0,0,0,0
2010-04-12,train,84755,376,368,376,376
2010-04-12,train,84879,453,453,453,453
2010-04-12,train,84946,87,87,87,87
2010-04-12,train,84991,374,374,374,374
2010-04-12,train,84992,49,49,49,49
2010-04-12,train,85099B,997,996,997,897
2010-04-12,train,85099C,468,468,468,468
2010-04-12,train,85099F,275,275,275,275
2010-04-12,train,85123A,848,848,848,848
2010-04-19,train,15036,195,195,195,195
2010-04-19,train,16014,50,50,50,50
2010-04-19,train,17003,119,119,119,119
2010-04-19,train,20725,267,267,267,267
2010-04-19,train,21212,672,671,672,672
2010-04-19,train,21213,222,222,222,222
2010-04-19,train,21232,455,453,455,455
2010-04-19,train,21977,541,541,541,541
2010-04-19,train,21980,63,63,63,63
2010-04-19,train,21982,149,149,149,149
2010-04-19,train,21984,445,445,445,445
2010-04-19,train,22086,1,1,1,1
2010-04-19,train,22178,263,257,263,263
2010-04-19,train,22197,154,154,154,154
2010-04-19,train,22386,188,188,188,188
2010-04-19,train,71459,413,389,413,413
2010-04-19,train,84077,576,576,576,576
2010-04-19,train,84270,167,167,167,167
2010-04-19,train,84347,0,0,0,0
2010-04-19,train,84568,21,21,21,21
2010-04-19,train,84598,43,43,43,43
2010-04-19,train,84755,487,487,487,487
2010-04-19,train,84879,480,480,480,480
2010-04-19,train,84946,436,436,436,364
2010-04-19,train,84991,644,644,644,644
2010-04-19,train,84992,374,374,374,374
2010-04-19,train,85099B,575,575,575,575
2010-04-19,train,85099C,357,357,357,357
2010-04-19,train,85099F,508,508,508,508
2010-04-19,train,85123A,696,695,696,696
2010-04-26,train,15036,832,832,832,832
2010-04-26,train,16014,0,0,0,0
2010-04-26,train,17003,721,721,721,721
2010-04-26,train,20725,304,303,304,304
2010-04-26,train,21212,1400,1400,1400,1280
2010-04-26,train,21213,354,354,354,354
2010-04-26,train,21232,386,382,386,386
2010-04-26,train,21977,986,986,986,746
2010-04-26,train,21980,101,101,101,101
2010-04-26,train,21982,690,690,690,690
2010-04-26,train,21984,953,953,953,953
2010-04-26,train,22086,0,0,0,0
2010-04-26,train,22178,134,134,134,134
2010-04-26,train,22197,476,476,476,476
2010-04-26,train,22386,326,326,326,326
2010-04-26,train,71459,1348,1336,1348,1252
2010-04-26,train,84077,672,624,672,672
2010-04-26,train,84270,1084,1084,1084,604
2010-04-26,train,84347,0,0,0,0
2010-04-26,train,84568,620,620,620,620
2010-04-26,train,84598,10,10,10,10
2010-04-26,train,84755,968,968,968,968
2010-04-26,train,84879,919,919,919,919
2010-04-26,train,84946,139,139,139,139
2010-04-26,train,84991,494,493,494,494
2010-04-26,train,84992,285,284,285,285
2010-04-26,train,85099B,1469,1469,1469,1369
2010-04-26,train,85099C,494,494,494,494
2010-04-26,train,85099F,784,784,784,684
2010-04-26,train,85123A,1050,1050,1050,1018
2010-05-03,train,15036,228,228,228,228
2010-05-03,train,16014,0,0,0,0
2010-05-03,train,17003,828,828,828,828
2010-05-03,train,20725,441,441,441,441
2010-05-03,train,21212,697,694,697,697
2010-05-03,train,21213,243,237,243,243
2010-05-03,train,21232,634,634,634,634
2010-05-03,train,21977,398,398,398,398
2010-05-03,train,21980,223,223,223,223
2010-05-03,train,21982,48,48,48,48
2010-05-03,train,21984,49,49,49,49
2010-05-03,train,22086,40,40,40,40
2010-05-03,train,22178,323,323,287,323
2010-05-03,train,22197,179,179,179,179
2010-05-03,train,22386,531,531,531,531
2010-05-03,train,71459,290,290,290,290
2010-05-03,train,84077,240,240,240,240
2010-05-03,train,84270,270,270,270,270
2010-05-03,train,84347,0,0,0,0
2010-05-03,train,84568,362,362,362,362
2010-05-03,train,84598,317,317,317,317
2010-05-03,train,84755,574,574,574,574
2010-05-03,train,84879,342,342,342,342
2010-05-03,train,84946,227,227,227,227
2010-05-03,train,84991,389,388,389,389
2010-05-03,train,84992,62,62,62,62
2010-05-03,train,85099B,822,822,822,822
2010-05-03,train,85099C,198,198,198,198
2010-05-03,train,85099F,379,379,379,379
2010-05-03,train,85123A,671,671,671,671
2010-05-10,train,15036,1179,1179,1179,1179
2010-05-10,train,16014,0,0,0,0
2010-05-10,train,17003,2342,2342,2342,2342
2010-05-10,train,20725,487,487,487,487
2010-05-10,train,21212,792,791,792,792
2010-05-10,train,21213,293,293,293,293
2010-05-10,train,21232,684,684,684,684
2010-05-10,train,21977,341,341,341,341
2010-05-10,train,21980,300,300,300,300
2010-05-10,train,21982,99,99,99,99
2010-05-10,train,21984,494,494,494,494
2010-05-10,train,22086,6,6,6,6
2010-05-10,train,22178,549,549,549,375
2010-05-10,train,22197,175,175,175,175
2010-05-10,train,22386,270,269,270,270
2010-05-10,train,71459,206,206,206,206
2010-05-10,train,84077,1824,1824,1824,1824
2010-05-10,train,84270,780,780,780,780
2010-05-10,train,84347,0,0,0,0
2010-05-10,train,84568,0,0,0,0
2010-05-10,train,84598,0,0,0,0
2010-05-10,train,84755,1736,1728,1736,584
2010-05-10,train,84879,699,691,699,699
