scenario_id,policy,week_start_utc,queue,dedicated_staff,flex_staff,actual_intake,opening_backlog,capacity,processed,ending_backlog,older_backlog,unprocessed_share
0-0-75,fixed,2025-08-11,technical,0,0,1502,10270,0,0,11772,10270,1.0
0-0-75,fixed,2025-08-11,privacy,0,0,151,1013,0,0,1164,1013,1.0
0-0-75,fixed,2025-08-18,billing,0,0,1442,11737,0,0,13179,11737,1.0
0-0-75,fixed,2025-08-18,technical,0,0,1369,11772,0,0,13141,11772,1.0
0-0-75,fixed,2025-08-18,privacy,0,0,165,1164,0,0,1329,1164,1.0
0-0-75,fixed,2025-08-25,billing,0,0,1489,13179,0,0,14668,13179,1.0
0-0-75,fixed,2025-08-25,technical,0,0,1275,13141,0,0,14416,13141,1.0
0-0-75,fixed,2025-08-25,privacy,0,0,130,1329,0,0,1459,1329,1.0
0-0-75,fixed,2025-09-01,billing,0,0,1465,14668,0,0,16133,14668,1.0
0-0-75,fixed,2025-09-01,technical,0,0,1258,14416,0,0,15674,14416,1.0
0-0-75,fixed,2025-09-01,privacy,0,0,106,1459,0,0,1565,1459,1.0
0-0-75,fixed,2025-09-08,billing,0,0,1506,16133,0,0,17639,16133,1.0
0-0-75,fixed,2025-09-08,technical,0,0,1327,15674,0,0,17001,15674,1.0
0-0-75,fixed,2025-09-08,privacy,0,0,114,1565,0,0,1679,1565,1.0
0-0-75,adaptive,2025-06-23,billing,0,0,1510,0,0,0,1510,0,1.0
0-0-75,adaptive,2025-06-23,technical,0,0,1591,0,0,0,1591,0,1.0
0-0-75,adaptive,2025-06-23,privacy,0,0,152,0,0,0,152,0,1.0
0-0-75,adaptive,2025-06-30,billing,0,0,1238,1510,0,0,2748,1510,1.0
0-0-75,adaptive,2025-06-30,technical,0,0,1356,1591,0,0,2947,1591,1.0
0-0-75,adaptive,2025-06-30,privacy,0,0,123,152,0,0,275,152,1.0
0-0-75,adaptive,2025-07-07,billing,0,0,1572,2748,0,0,4320,2748,1.0
0-0-75,adaptive,2025-07-07,technical,0,0,1490,2947,0,0,4437,2947,1.0
0-0-75,adaptive,2025-07-07,privacy,0,0,128,275,0,0,403,275,1.0
0-0-75,adaptive,2025-07-14,billing,0,0,1393,4320,0,0,5713,4320,1.0
0-0-75,adaptive,2025-07-14,technical,0,0,1449,4437,0,0,5886,4437,1.0
0-0-75,adaptive,2025-07-14,privacy,0,0,134,403,0,0,537,403,1.0
0-0-75,adaptive,2025-07-21,billing,0,0,1441,5713,0,0,7154,5713,1.0
0-0-75,adaptive,2025-07-21,technical,0,0,1416,5886,0,0,7302,5886,1.0
0-0-75,adaptive,2025-07-21,privacy,0,0,146,537,0,0,683,537,1.0
0-0-75,adaptive,2025-07-28,billing,0,0,1549,7154,0,0,8703,7154,1.0
0-0-75,adaptive,2025-07-28,technical,0,0,1452,7302,0,0,8754,7302,1.0
0-0-75,adaptive,2025-07-28,privacy,0,0,158,683,0,0,841,683,1.0
0-0-75,adaptive,2025-08-04,billing,0,0,1592,8703,0,0,10295,8703,1.0
0-0-75,adaptive,2025-08-04,technical,0,0,1516,8754,0,0,10270,8754,1.0
0-0-75,adaptive,2025-08-04,privacy,0,0,172,841,0,0,1013,841,1.0
0-0-75,adaptive,2025-08-11,billing,0,0,1442,10295,0,0,11737,10295,1.0
0-0-75,adaptive,2025-08-11,technical,0,0,1502,10270,0,0,11772,10270,1.0
0-0-75,adaptive,2025-08-11,privacy,0,0,151,1013,0,0,1164,1013,1.0
0-0-75,adaptive,2025-08-18,billing,0,0,1442,11737,0,0,13179,11737,1.0
0-0-75,adaptive,2025-08-18,technical,0,0,1369,11772,0,0,13141,11772,1.0
0-0-75,adaptive,2025-08-18,privacy,0,0,165,1164,0,0,1329,1164,1.0
0-0-75,adaptive,2025-08-25,billing,0,0,1489,13179,0,0,14668,13179,1.0
0-0-75,adaptive,2025-08-25,technical,0,0,1275,13141,0,0,14416,13141,1.0
0-0-75,adaptive,2025-08-25,privacy,0,0,130,1329,0,0,1459,1329,1.0
0-0-75,adaptive,2025-09-01,billing,0,0,1465,14668,0,0,16133,14668,1.0
0-0-75,adaptive,2025-09-01,technical,0,0,1258,14416,0,0,15674,14416,1.0
0-0-75,adaptive,2025-09-01,privacy,0,0,106,1459,0,0,1565,1459,1.0
0-0-75,adaptive,2025-09-08,billing,0,0,1506,16133,0,0,17639,16133,1.0
0-0-75,adaptive,2025-09-08,technical,0,0,1327,15674,0,0,17001,15674,1.0
0-0-75,adaptive,2025-09-08,privacy,0,0,114,1565,0,0,1679,1565,1.0
0-0-75,optimized,2025-06-23,billing,0,0,1510,0,0,0,1510,0,1.0
0-0-75,optimized,2025-06-23,technical,0,0,1591,0,0,0,1591,0,1.0
0-0-75,optimized,2025-06-23,privacy,0,0,152,0,0,0,152,0,1.0
0-0-75,optimized,2025-06-30,billing,0,0,1238,1510,0,0,2748,1510,1.0
0-0-75,optimized,2025-06-30,technical,0,0,1356,1591,0,0,2947,1591,1.0
0-0-75,optimized,2025-06-30,privacy,0,0,123,152,0,0,275,152,1.0
0-0-75,optimized,2025-07-07,billing,0,0,1572,2748,0,0,4320,2748,1.0
0-0-75,optimized,2025-07-07,technical,0,0,1490,2947,0,0,4437,2947,1.0
0-0-75,optimized,2025-07-07,privacy,0,0,128,275,0,0,403,275,1.0
0-0-75,optimized,2025-07-14,billing,0,0,1393,4320,0,0,5713,4320,1.0
0-0-75,optimized,2025-07-14,technical,0,0,1449,4437,0,0,5886,4437,1.0
0-0-75,optimized,2025-07-14,privacy,0,0,134,403,0,0,537,403,1.0
0-0-75,optimized,2025-07-21,billing,0,0,1441,5713,0,0,7154,5713,1.0
0-0-75,optimized,2025-07-21,technical,0,0,1416,5886,0,0,7302,5886,1.0
0-0-75,optimized,2025-07-21,privacy,0,0,146,537,0,0,683,537,1.0
0-0-75,optimized,2025-07-28,billing,0,0,1549,7154,0,0,8703,7154,1.0
0-0-75,optimized,2025-07-28,technical,0,0,1452,7302,0,0,8754,7302,1.0
0-0-75,optimized,2025-07-28,privacy,0,0,158,683,0,0,841,683,1.0
0-0-75,optimized,2025-08-04,billing,0,0,1592,8703,0,0,10295,8703,1.0
0-0-75,optimized,2025-08-04,technical,0,0,1516,8754,0,0,10270,8754,1.0
0-0-75,optimized,2025-08-04,privacy,0,0,172,841,0,0,1013,841,1.0
0-0-75,optimized,2025-08-11,billing,0,0,1442,10295,0,0,11737,10295,1.0
0-0-75,optimized,2025-08-11,technical,0,0,1502,10270,0,0,11772,10270,1.0
0-0-75,optimized,2025-08-11,privacy,0,0,151,1013,0,0,1164,1013,1.0
0-0-75,optimized,2025-08-18,billing,0,0,1442,11737,0,0,13179,11737,1.0
0-0-75,optimized,2025-08-18,technical,0,0,1369,11772,0,0,13141,11772,1.0
0-0-75,optimized,2025-08-18,privacy,0,0,165,1164,0,0,1329,1164,1.0
0-0-75,optimized,2025-08-25,billing,0,0,1489,13179,0,0,14668,13179,1.0
0-0-75,optimized,2025-08-25,technical,0,0,1275,13141,0,0,14416,13141,1.0
0-0-75,optimized,2025-08-25,privacy,0,0,130,1329,0,0,1459,1329,1.0
0-0-75,optimized,2025-09-01,billing,0,0,1465,14668,0,0,16133,14668,1.0
0-0-75,optimized,2025-09-01,technical,0,0,1258,14416,0,0,15674,14416,1.0
0-0-75,optimized,2025-09-01,privacy,0,0,106,1459,0,0,1565,1459,1.0
0-0-75,optimized,2025-09-08,billing,0,0,1506,16133,0,0,17639,16133,1.0
0-0-75,optimized,2025-09-08,technical,0,0,1327,15674,0,0,17001,15674,1.0
0-0-75,optimized,2025-09-08,privacy,0,0,114,1565,0,0,1679,1565,1.0
0-0-75,hindsight,2025-06-23,billing,0,0,1510,0,0,0,1510,0,1.0
0-0-75,hindsight,2025-06-23,technical,0,0,1591,0,0,0,1591,0,1.0
0-0-75,hindsight,2025-06-23,privacy,0,0,152,0,0,0,152,0,1.0
0-0-75,hindsight,2025-06-30,billing,0,0,1238,1510,0,0,2748,1510,1.0
0-0-75,hindsight,2025-06-30,technical,0,0,1356,1591,0,0,2947,1591,1.0
0-0-75,hindsight,2025-06-30,privacy,0,0,123,152,0,0,275,152,1.0
0-0-75,hindsight,2025-07-07,billing,0,0,1572,2748,0,0,4320,2748,1.0
0-0-75,hindsight,2025-07-07,technical,0,0,1490,2947,0,0,4437,2947,1.0
0-0-75,hindsight,2025-07-07,privacy,0,0,128,275,0,0,403,275,1.0
0-0-75,hindsight,2025-07-14,billing,0,0,1393,4320,0,0,5713,4320,1.0
0-0-75,hindsight,2025-07-14,technical,0,0,1449,4437,0,0,5886,4437,1.0
0-0-75,hindsight,2025-07-14,privacy,0,0,134,403,0,0,537,403,1.0
0-0-75,hindsight,2025-07-21,billing,0,0,1441,5713,0,0,7154,5713,1.0
0-0-75,hindsight,2025-07-21,technical,0,0,1416,5886,0,0,7302,5886,1.0
0-0-75,hindsight,2025-07-21,privacy,0,0,146,537,0,0,683,537,1.0
0-0-75,hindsight,2025-07-28,billing,0,0,1549,7154,0,0,8703,7154,1.0
0-0-75,hindsight,2025-07-28,technical,0,0,1452,7302,0,0,8754,7302,1.0
0-0-75,hindsight,2025-07-28,privacy,0,0,158,683,0,0,841,683,1.0
0-0-75,hindsight,2025-08-04,billing,0,0,1592,8703,0,0,10295,8703,1.0
0-0-75,hindsight,2025-08-04,technical,0,0,1516,8754,0,0,10270,8754,1.0
0-0-75,hindsight,2025-08-04,privacy,0,0,172,841,0,0,1013,841,1.0
0-0-75,hindsight,2025-08-11,billing,0,0,1442,10295,0,0,11737,10295,1.0
0-0-75,hindsight,2025-08-11,technical,0,0,1502,10270,0,0,11772,10270,1.0
0-0-75,hindsight,2025-08-11,privacy,0,0,151,1013,0,0,1164,1013,1.0
0-0-75,hindsight,2025-08-18,billing,0,0,1442,11737,0,0,13179,11737,1.0
0-0-75,hindsight,2025-08-18,technical,0,0,1369,11772,0,0,13141,11772,1.0
0-0-75,hindsight,2025-08-18,privacy,0,0,165,1164,0,0,1329,1164,1.0
0-0-75,hindsight,2025-08-25,billing,0,0,1489,13179,0,0,14668,13179,1.0
0-0-75,hindsight,2025-08-25,technical,0,0,1275,13141,0,0,14416,13141,1.0
0-0-75,hindsight,2025-08-25,privacy,0,0,130,1329,0,0,1459,1329,1.0
0-0-75,hindsight,2025-09-01,billing,0,0,1465,14668,0,0,16133,14668,1.0
0-0-75,hindsight,2025-09-01,technical,0,0,1258,14416,0,0,15674,14416,1.0
0-0-75,hindsight,2025-09-01,privacy,0,0,106,1459,0,0,1565,1459,1.0
0-0-75,hindsight,2025-09-08,billing,0,0,1506,16133,0,0,17639,16133,1.0
0-0-75,hindsight,2025-09-08,technical,0,0,1327,15674,0,0,17001,15674,1.0
0-0-75,hindsight,2025-09-08,privacy,0,0,114,1565,0,0,1679,1565,1.0
0-0-100,fixed,2025-06-23,billing,0,0,1510,0,0,0,1510,0,1.0
0-0-100,fixed,2025-06-23,technical,0,0,1591,0,0,0,1591,0,1.0
0-0-100,fixed,2025-06-23,privacy,0,0,152,0,0,0,152,0,1.0
0-0-100,fixed,2025-06-30,billing,0,0,1238,1510,0,0,2748,1510,1.0
0-0-100,fixed,2025-06-30,technical,0,0,1356,1591,0,0,2947,1591,1.0
0-0-100,fixed,2025-06-30,privacy,0,0,123,152,0,0,275,152,1.0
0-0-100,fixed,2025-07-07,billing,0,0,1572,2748,0,0,4320,2748,1.0
0-0-100,fixed,2025-07-07,technical,0,0,1490,2947,0,0,4437,2947,1.0
0-0-100,fixed,2025-07-07,privacy,0,0,128,275,0,0,403,275,1.0
0-0-100,fixed,2025-07-14,billing,0,0,1393,4320,0,0,5713,4320,1.0
0-0-100,fixed,2025-07-14,technical,0,0,1449,4437,0,0,5886,4437,1.0
0-0-100,fixed,2025-07-14,privacy,0,0,134,403,0,0,537,403,1.0
0-0-100,fixed,2025-07-21,billing,0,0,1441,5713,0,0,7154,5713,1.0
0-0-100,fixed,2025-07-21,technical,0,0,1416,5886,0,0,7302,5886,1.0
0-0-100,fixed,2025-07-21,privacy,0,0,146,537,0,0,683,537,1.0
0-0-100,fixed,2025-07-28,billing,0,0,1549,7154,0,0,8703,7154,1.0
0-0-100,fixed,2025-07-28,technical,0,0,1452,7302,0,0,8754,7302,1.0
0-0-100,fixed,2025-07-28,privacy,0,0,158,683,0,0,841,683,1.0
0-0-100,fixed,2025-08-04,billing,0,0,1592,8703,0,0,10295,8703,1.0
0-0-100,fixed,2025-08-04,technical,0,0,1516,8754,0,0,10270,8754,1.0
0-0-100,fixed,2025-08-04,privacy,0,0,172,841,0,0,1013,841,1.0
0-0-100,fixed,2025-08-11,billing,0,0,1442,10295,0,0,11737,10295,1.0
0-0-100,fixed,2025-08-11,technical,0,0,1502,10270,0,0,11772,10270,1.0
0-0-100,fixed,2025-08-11,privacy,0,0,151,1013,0,0,1164,1013,1.0
0-0-100,fixed,2025-08-18,billing,0,0,1442,11737,0,0,13179,11737,1.0
0-0-100,fixed,2025-08-18,technical,0,0,1369,11772,0,0,13141,11772,1.0
0-0-100,fixed,2025-08-18,privacy,0,0,165,1164,0,0,1329,1164,1.0
0-0-100,fixed,2025-08-25,billing,0,0,1489,13179,0,0,14668,13179,1.0
0-0-100,fixed,2025-08-25,technical,0,0,1275,13141,0,0,14416,13141,1.0
0-0-100,fixed,2025-08-25,privacy,0,0,130,1329,0,0,1459,1329,1.0
0-0-100,fixed,2025-09-01,billing,0,0,1465,14668,0,0,16133,14668,1.0
0-0-100,fixed,2025-09-01,technical,0,0,1258,14416,0,0,15674,14416,1.0
0-0-100,fixed,2025-09-01,privacy,0,0,106,1459,0,0,1565,1459,1.0
0-0-100,fixed,2025-09-08,billing,0,0,1506,16133,0,0,17639,16133,1.0
0-0-100,fixed,2025-09-08,technical,0,0,1327,15674,0,0,17001,15674,1.0
0-0-100,fixed,2025-09-08,privacy,0,0,114,1565,0,0,1679,1565,1.0
0-0-100,adaptive,2025-06-23,billing,0,0,1510,0,0,0,1510,0,1.0
0-0-100,adaptive,2025-06-23,technical,0,0,1591,0,0,0,1591,0,1.0
0-0-100,adaptive,2025-06-23,privacy,0,0,152,0,0,0,152,0,1.0
0-0-100,adaptive,2025-06-30,billing,0,0,1238,1510,0,0,2748,1510,1.0
0-0-100,adaptive,2025-06-30,technical,0,0,1356,1591,0,0,2947,1591,1.0
0-0-100,adaptive,2025-06-30,privacy,0,0,123,152,0,0,275,152,1.0
0-0-100,adaptive,2025-07-07,billing,0,0,1572,2748,0,0,4320,2748,1.0
0-0-100,adaptive,2025-07-07,technical,0,0,1490,2947,0,0,4437,2947,1.0
0-0-100,adaptive,2025-07-07,privacy,0,0,128,275,0,0,403,275,1.0
0-0-100,adaptive,2025-07-14,billing,0,0,1393,4320,0,0,5713,4320,1.0
0-0-100,adaptive,2025-07-14,technical,0,0,1449,4437,0,0,5886,4437,1.0
0-0-100,adaptive,2025-07-14,privacy,0,0,134,403,0,0,537,403,1.0
0-0-100,adaptive,2025-07-21,billing,0,0,1441,5713,0,0,7154,5713,1.0
0-0-100,adaptive,2025-07-21,technical,0,0,1416,5886,0,0,7302,5886,1.0
0-0-100,adaptive,2025-07-21,privacy,0,0,146,537,0,0,683,537,1.0
0-0-100,adaptive,2025-07-28,billing,0,0,1549,7154,0,0,8703,7154,1.0
0-0-100,adaptive,2025-07-28,technical,0,0,1452,7302,0,0,8754,7302,1.0
0-0-100,adaptive,2025-07-28,privacy,0,0,158,683,0,0,841,683,1.0
0-0-100,adaptive,2025-08-04,billing,0,0,1592,8703,0,0,10295,8703,1.0
0-0-100,adaptive,2025-08-04,technical,0,0,1516,8754,0,0,10270,8754,1.0
0-0-100,adaptive,2025-08-04,privacy,0,0,172,841,0,0,1013,841,1.0
0-0-100,adaptive,2025-08-11,billing,0,0,1442,10295,0,0,11737,10295,1.0
0-0-100,adaptive,2025-08-11,technical,0,0,1502,10270,0,0,11772,10270,1.0
0-0-100,adaptive,2025-08-11,privacy,0,0,151,1013,0,0,1164,1013,1.0
0-0-100,adaptive,2025-08-18,billing,0,0,1442,11737,0,0,13179,11737,1.0
0-0-100,adaptive,2025-08-18,technical,0,0,1369,11772,0,0,13141,11772,1.0
0-0-100,adaptive,2025-08-18,privacy,0,0,165,1164,0,0,1329,1164,1.0
0-0-100,adaptive,2025-08-25,billing,0,0,1489,13179,0,0,14668,13179,1.0
0-0-100,adaptive,2025-08-25,technical,0,0,1275,13141,0,0,14416,13141,1.0
0-0-100,adaptive,2025-08-25,privacy,0,0,130,1329,0,0,1459,1329,1.0
0-0-100,adaptive,2025-09-01,billing,0,0,1465,14668,0,0,16133,14668,1.0
0-0-100,adaptive,2025-09-01,technical,0,0,1258,14416,0,0,15674,14416,1.0
0-0-100,adaptive,2025-09-01,privacy,0,0,106,1459,0,0,1565,1459,1.0
0-0-100,adaptive,2025-09-08,billing,0,0,1506,16133,0,0,17639,16133,1.0
0-0-100,adaptive,2025-09-08,technical,0,0,1327,15674,0,0,17001,15674,1.0
0-0-100,adaptive,2025-09-08,privacy,0,0,114,1565,0,0,1679,1565,1.0
0-0-100,optimized,2025-06-23,billing,0,0,1510,0,0,0,1510,0,1.0
0-0-100,optimized,2025-06-23,technical,0,0,1591,0,0,0,1591,0,1.0
0-0-100,optimized,2025-06-23,privacy,0,0,152,0,0,0,152,0,1.0
0-0-100,optimized,2025-06-30,billing,0,0,1238,1510,0,0,2748,1510,1.0
0-0-100,optimized,2025-06-30,technical,0,0,1356,1591,0,0,2947,1591,1.0
0-0-100,optimized,2025-06-30,privacy,0,0,123,152,0,0,275,152,1.0
0-0-100,optimized,2025-07-07,billing,0,0,1572,2748,0,0,4320,2748,1.0
0-0-100,optimized,2025-07-07,technical,0,0,1490,2947,0,0,4437,2947,1.0
0-0-100,optimized,2025-07-07,privacy,0,0,128,275,0,0,403,275,1.0
0-0-100,optimized,2025-07-14,billing,0,0,1393,4320,0,0,5713,4320,1.0
0-0-100,optimized,2025-07-14,technical,0,0,1449,4437,0,0,5886,4437,1.0
0-0-100,optimized,2025-07-14,privacy,0,0,134,403,0,0,537,403,1.0
0-0-100,optimized,2025-07-21,billing,0,0,1441,5713,0,0,7154,5713,1.0
0-0-100,optimized,2025-07-21,technical,0,0,1416,5886,0,0,7302,5886,1.0
0-0-100,optimized,2025-07-21,privacy,0,0,146,537,0,0,683,537,1.0
0-0-100,optimized,2025-07-28,billing,0,0,1549,7154,0,0,8703,7154,1.0
0-0-100,optimized,2025-07-28,technical,0,0,1452,7302,0,0,8754,7302,1.0
0-0-100,optimized,2025-07-28,privacy,0,0,158,683,0,0,841,683,1.0
0-0-100,optimized,2025-08-04,billing,0,0,1592,8703,0,0,10295,8703,1.0
0-0-100,optimized,2025-08-04,technical,0,0,1516,8754,0,0,10270,8754,1.0
0-0-100,optimized,2025-08-04,privacy,0,0,172,841,0,0,1013,841,1.0
0-0-100,optimized,2025-08-11,billing,0,0,1442,10295,0,0,11737,10295,1.0
0-0-100,optimized,2025-08-11,technical,0,0,1502,10270,0,0,11772,10270,1.0
0-0-100,optimized,2025-08-11,privacy,0,0,151,1013,0,0,1164,1013,1.0
0-0-100,optimized,2025-08-18,billing,0,0,1442,11737,0,0,13179,11737,1.0
0-0-100,optimized,2025-08-18,technical,0,0,1369,11772,0,0,13141,11772,1.0
0-0-100,optimized,2025-08-18,privacy,0,0,165,1164,0,0,1329,1164,1.0
0-0-100,optimized,2025-08-25,billing,0,0,1489,13179,0,0,14668,13179,1.0
0-0-100,optimized,2025-08-25,technical,0,0,1275,13141,0,0,14416,13141,1.0
0-0-100,optimized,2025-08-25,privacy,0,0,130,1329,0,0,1459,1329,1.0
0-0-100,optimized,2025-09-01,billing,0,0,1465,14668,0,0,16133,14668,1.0
0-0-100,optimized,2025-09-01,technical,0,0,1258,14416,0,0,15674,14416,1.0
0-0-100,optimized,2025-09-01,privacy,0,0,106,1459,0,0,1565,1459,1.0
0-0-100,optimized,2025-09-08,billing,0,0,1506,16133,0,0,17639,16133,1.0
0-0-100,optimized,2025-09-08,technical,0,0,1327,15674,0,0,17001,15674,1.0
0-0-100,optimized,2025-09-08,privacy,0,0,114,1565,0,0,1679,1565,1.0
0-0-100,hindsight,2025-06-23,billing,0,0,1510,0,0,0,1510,0,1.0
0-0-100,hindsight,2025-06-23,technical,0,0,1591,0,0,0,1591,0,1.0
0-0-100,hindsight,2025-06-23,privacy,0,0,152,0,0,0,152,0,1.0
0-0-100,hindsight,2025-06-30,billing,0,0,1238,1510,0,0,2748,1510,1.0
0-0-100,hindsight,2025-06-30,technical,0,0,1356,1591,0,0,2947,1591,1.0
0-0-100,hindsight,2025-06-30,privacy,0,0,123,152,0,0,275,152,1.0
0-0-100,hindsight,2025-07-07,billing,0,0,1572,2748,0,0,4320,2748,1.0
0-0-100,hindsight,2025-07-07,technical,0,0,1490,2947,0,0,4437,2947,1.0
0-0-100,hindsight,2025-07-07,privacy,0,0,128,275,0,0,403,275,1.0
0-0-100,hindsight,2025-07-14,billing,0,0,1393,4320,0,0,5713,4320,1.0
0-0-100,hindsight,2025-07-14,technical,0,0,1449,4437,0,0,5886,4437,1.0
0-0-100,hindsight,2025-07-14,privacy,0,0,134,403,0,0,537,403,1.0
0-0-100,hindsight,2025-07-21,billing,0,0,1441,5713,0,0,7154,5713,1.0
0-0-100,hindsight,2025-07-21,technical,0,0,1416,5886,0,0,7302,5886,1.0
0-0-100,hindsight,2025-07-21,privacy,0,0,146,537,0,0,683,537,1.0
0-0-100,hindsight,2025-07-28,billing,0,0,1549,7154,0,0,8703,7154,1.0
0-0-100,hindsight,2025-07-28,technical,0,0,1452,7302,0,0,8754,7302,1.0
0-0-100,hindsight,2025-07-28,privacy,0,0,158,683,0,0,841,683,1.0
0-0-100,hindsight,2025-08-04,billing,0,0,1592,8703,0,0,10295,8703,1.0
0-0-100,hindsight,2025-08-04,technical,0,0,1516,8754,0,0,10270,8754,1.0
0-0-100,hindsight,2025-08-04,privacy,0,0,172,841,0,0,1013,841,1.0
0-0-100,hindsight,2025-08-11,billing,0,0,1442,10295,0,0,11737,10295,1.0
0-0-100,hindsight,2025-08-11,technical,0,0,1502,10270,0,0,11772,10270,1.0
0-0-100,hindsight,2025-08-11,privacy,0,0,151,1013,0,0,1164,1013,1.0
0-0-100,hindsight,2025-08-18,billing,0,0,1442,11737,0,0,13179,11737,1.0
0-0-100,hindsight,2025-08-18,technical,0,0,1369,11772,0,0,13141,11772,1.0
0-0-100,hindsight,2025-08-18,privacy,0,0,165,1164,0,0,1329,1164,1.0
0-0-100,hindsight,2025-08-25,billing,0,0,1489,13179,0,0,14668,13179,1.0
0-0-100,hindsight,2025-08-25,technical,0,0,1275,13141,0,0,14416,13141,1.0
0-0-100,hindsight,2025-08-25,privacy,0,0,130,1329,0,0,1459,1329,1.0
0-0-100,hindsight,2025-09-01,billing,0,0,1465,14668,0,0,16133,14668,1.0
0-0-100,hindsight,2025-09-01,technical,0,0,1258,14416,0,0,15674,14416,1.0
0-0-100,hindsight,2025-09-01,privacy,0,0,106,1459,0,0,1565,1459,1.0
0-0-100,hindsight,2025-09-08,billing,0,0,1506,16133,0,0,17639,16133,1.0
0-0-100,hindsight,2025-09-08,technical,0,0,1327,15674,0,0,17001,15674,1.0
0-0-100,hindsight,2025-09-08,privacy,0,0,114,1565,0,0,1679,1565,1.0
0-0-125,fixed,2025-06-23,billing,0,0,1510,0,0,0,1510,0,1.0
0-0-125,fixed,2025-06-23,technical,0,0,1591,0,0,0,1591,0,1.0
0-0-125,fixed,2025-06-23,privacy,0,0,152,0,0,0,152,0,1.0
0-0-125,fixed,2025-06-30,billing,0,0,1238,1510,0,0,2748,1510,1.0
0-0-125,fixed,2025-06-30,technical,0,0,1356,1591,0,0,2947,1591,1.0
0-0-125,fixed,2025-06-30,privacy,0,0,123,152,0,0,275,152,1.0
0-0-125,fixed,2025-07-07,billing,0,0,1572,2748,0,0,4320,2748,1.0
0-0-125,fixed,2025-07-07,technical,0,0,1490,2947,0,0,4437,2947,1.0
0-0-125,fixed,2025-07-07,privacy,0,0,128,275,0,0,403,275,1.0
0-0-125,fixed,2025-07-14,billing,0,0,1393,4320,0,0,5713,4320,1.0
0-0-125,fixed,2025-07-14,technical,0,0,1449,4437,0,0,5886,4437,1.0
0-0-125,fixed,2025-07-14,privacy,0,0,134,403,0,0,537,403,1.0
0-0-125,fixed,2025-07-21,billing,0,0,1441,5713,0,0,7154,5713,1.0
0-0-125,fixed,2025-07-21,technical,0,0,1416,5886,0,0,7302,5886,1.0
0-0-125,fixed,2025-07-21,privacy,0,0,146,537,0,0,683,537,1.0
0-0-125,fixed,2025-07-28,billing,0,0,1549,7154,0,0,8703,7154,1.0
0-0-125,fixed,2025-07-28,technical,0,0,1452,7302,0,0,8754,7302,1.0
0-0-125,fixed,2025-07-28,privacy,0,0,158,683,0,0,841,683,1.0
0-0-125,fixed,2025-08-04,billing,0,0,1592,8703,0,0,10295,8703,1.0
0-0-125,fixed,2025-08-04,technical,0,0,1516,8754,0,0,10270,8754,1.0
0-0-125,fixed,2025-08-04,privacy,0,0,172,841,0,0,1013,841,1.0
0-0-125,fixed,2025-08-11,billing,0,0,1442,10295,0,0,11737,10295,1.0
0-0-125,fixed,2025-08-11,technical,0,0,1502,10270,0,0,11772,10270,1.0
0-0-125,fixed,2025-08-11,privacy,0,0,151,1013,0,0,1164,1013,1.0
0-0-125,fixed,2025-08-18,billing,0,0,1442,11737,0,0,13179,11737,1.0
0-0-125,fixed,2025-08-18,technical,0,0,1369,11772,0,0,13141,11772,1.0
0-0-125,fixed,2025-08-18,privacy,0,0,165,1164,0,0,1329,1164,1.0
0-0-125,fixed,2025-08-25,billing,0,0,1489,13179,0,0,14668,13179,1.0
