scenario_id,staff,cross_trained_percent,capacity_percent,policy,cumulativeBacklog,endingBacklog,totalProcessed,unusedCapacity,meanWorstShare,worstShare,oldestAge,reallocated
24-0-75,24,0,75,adaptive,170230,25879,10440,0,0.9353170458748005,0.9753197217859547,9,0
24-0-75,24,0,75,optimized,170230,25879,10440,0,0.9353170458748005,0.9753197217859547,9,0
24-0-75,24,0,75,hindsight,170230,25879,10440,0,0.9353170458748005,0.9753197217859547,9,0
24-0-100,24,0,100,fixed,147610,22399,13920,0,0.9091692899265355,0.9638187649042019,8,0
24-0-100,24,0,100,adaptive,147610,22399,13920,0,0.9091692899265355,0.9638187649042019,8,0
24-0-100,24,0,100,optimized,147610,22399,13920,0,0.9091692899265355,0.9638187649042019,8,0
24-0-100,24,0,100,hindsight,147610,22399,13920,0,0.9091692899265355,0.9638187649042019,8,0
24-0-125,24,0,125,fixed,124990,18919,17400,0,0.8797619328134242,0.9497762761391654,7,0
24-0-125,24,0,125,adaptive,124990,18919,17400,0,0.8797619328134242,0.9497762761391654,7,0
24-0-125,24,0,125,optimized,124990,18919,17400,0,0.8797619328134242,0.9497762761391654,7,0
24-0-125,24,0,125,hindsight,124990,18919,17400,0,0.8797619328134242,0.9497762761391654,7,0
24-25-75,24,25,75,fixed,175144,26635,9684,0,0.9393336173285426,0.977006411673668,9,0
24-25-75,24,25,75,adaptive,174676,26563,9756,0,0.9339629259618955,0.9747463359639233,9,0
24-25-75,24,25,75,optimized,176236,26779,9540,0,0.9257805706493243,0.9720865317515701,8,5
24-25-75,24,25,75,hindsight,176212,26767,9552,0,0.9256553708512879,0.9721383793824008,8,1
24-25-100,24,25,100,fixed,154162,23407,12912,0,0.9151261134486103,0.9665191146881288,8,0
24-25-100,24,25,100,adaptive,153538,23311,13008,0,0.9071498063995979,0.9628924045390541,8,0
24-25-100,24,25,100,optimized,155618,23599,12720,0,0.894796662266883,0.9583658600052043,7,5
24-25-100,24,25,100,hindsight,155586,23583,12736,0,0.8946468130663212,0.9584811002508433,7,1
24-25-125,24,25,125,fixed,133180,20179,16140,0,0.888152068836785,0.9539047956741423,7,0
24-25-125,24,25,125,adaptive,132400,20059,16260,0,0.8768977168293799,0.9483442486855456,7,0
24-25-125,24,25,125,optimized,135000,20419,15900,0,0.8590973269364927,0.9409506938293475,6,5
24-25-125,24,25,125,hindsight,134900,20399,15920,0,0.8590145075604506,0.9411822370355848,6,3
24-50-75,24,50,75,fixed,176938,26911,9408,0,0.9432833466292486,0.9786445848768794,9,0
24-50-75,24,50,75,adaptive,177874,27055,9264,0,0.9380023025058688,0.9764496778493668,9,0
24-50-75,24,50,75,optimized,179434,27271,9048,0,0.9300336599668154,0.9738831615120275,9,5
24-50-75,24,50,75,hindsight,179410,27259,9060,0,0.9299173842328257,0.9739309398582209,9,1
24-50-100,24,50,100,fixed,156502,23767,12552,0,0.9209363794898576,0.9691071006383482,8,0
24-50-100,24,50,100,adaptive,157750,23959,12360,0,0.9131571567028893,0.9656318391829456,8,0
24-50-100,24,50,100,optimized,159830,24247,12072,0,0.9012270243333912,0.9613329941490715,8,5
24-50-100,24,50,100,hindsight,159798,24231,12088,0,0.9010892347384015,0.9614376321353065,8,1
24-50-125,24,50,125,fixed,136144,20635,15684,0,0.8962543832937149,0.9577986392214279,8,0
24-50-125,24,50,125,adaptive,137704,20875,15444,0,0.8853883248713986,0.9525557246441679,7,0
24-50-125,24,50,125,optimized,140304,21235,15084,0,0.8683819984652507,0.9456677151844438,7,5
24-50-125,24,50,125,hindsight,140204,21215,15104,0,0.8683060294974897,0.9458740860317159,7,3
24-100-75,24,100,75,fixed,184738,28111,8208,0,0.9445854652172682,0.9791802212101497,9,0
24-100-75,24,100,75,adaptive,185890,28273,8046,0,0.9413790907048747,0.977097617869513,9,5
24-100-75,24,100,75,optimized,185818,28267,8052,0,0.9395657573657501,0.977039189284955,9,1
24-100-75,24,100,75,hindsight,185806,28267,8052,0,0.939174754230855,0.977039189284955,9,2
24-100-100,24,100,100,fixed,166954,25375,10944,0,0.9228418140792182,0.9699459967128434,8,0
24-100-100,24,100,100,adaptive,168490,25591,10728,0,0.9177689156690976,0.9667257182469383,8,5
24-100-100,24,100,100,optimized,168554,25599,10720,0,0.9157031253166529,0.9667257182469383,8,3
24-100-100,24,100,100,hindsight,168378,25583,10736,0,0.9147524320356627,0.9666022419791264,8,2
24-100-125,24,100,125,fixed,149170,22639,13680,0,0.8988945177001124,0.9590478628103404,8,0
24-100-125,24,100,125,adaptive,151090,22909,13410,0,0.8912811989410799,0.9543108554023183,7,5
24-100-125,24,100,125,optimized,151170,22919,13400,0,0.8886468897353325,0.9543108554023183,7,3
24-100-125,24,100,125,hindsight,150950,22899,13420,0,0.8874333784241714,0.9540777276979335,7,2
36-0-75,36,0,75,fixed,137470,20839,15480,0,0.8988945177001124,0.9590478628103404,8,0
36-0-75,36,0,75,adaptive,137470,20839,15480,0,0.8988945177001124,0.9590478628103404,8,0
36-0-75,36,0,75,optimized,137470,20839,15480,0,0.8988945177001124,0.9590478628103404,8,0
36-0-75,36,0,75,hindsight,137470,20839,15480,0,0.8988945177001124,0.9590478628103404,8,0
36-0-100,36,0,100,fixed,103930,15679,20640,0,0.8526449387254761,0.93574942274872,6,0
36-0-100,36,0,100,adaptive,103930,15679,20640,0,0.8526449387254761,0.93574942274872,6,0
36-0-100,36,0,100,optimized,103930,15679,20640,0,0.8526449387254761,0.93574942274872,6,0
36-0-100,36,0,100,hindsight,103930,15679,20640,0,0.8526449387254761,0.93574942274872,6,0
36-0-125,36,0,125,fixed,71133,10640,25679,121,0.7952138731747577,0.9024509206194367,5,0
36-0-125,36,0,125,adaptive,71133,10640,25679,121,0.7952138731747577,0.9024509206194367,5,0
36-0-125,36,0,125,optimized,71133,10640,25679,121,0.7952138731747577,0.9024509206194367,5,0
36-0-125,36,0,125,hindsight,71133,10640,25679,121,0.7952138731747577,0.9024509206194367,5,0
36-25-75,36,25,75,fixed,143476,21763,14556,0,0.8988945177001124,0.9590478628103404,8,0
36-25-75,36,25,75,adaptive,143242,21739,14580,0,0.8954220898494012,0.9587096774193549,8,3
36-25-75,36,25,75,optimized,145372,22027,14292,0,0.8765278242136064,0.9496811391630995,7,3
36-25-75,36,25,75,hindsight,145264,22015,14304,0,0.8763898899049308,0.9495223906756638,7,3
36-25-100,36,25,100,fixed,111886,16903,19416,0,0.8526449387254761,0.93574942274872,6,0
36-25-100,36,25,100,adaptive,111550,16831,19488,0,0.8422057268154896,0.9300655635341867,6,1
36-25-100,36,25,100,optimized,114414,17255,19064,0,0.8153453894538374,0.9181498454652031,5,3
36-25-100,36,25,100,hindsight,114270,17239,19080,0,0.8150288591939888,0.9177289769683985,5,3
36-25-125,36,25,125,fixed,80685,12086,24233,31,0.7952138731747577,0.9024509206194367,5,0
36-25-125,36,25,125,adaptive,80034,11975,24344,0,0.7721277092925712,0.890639239682333,5,3
36-25-125,36,25,125,optimized,83514,12475,23844,0,0.7334905086895139,0.8690671031096563,4,4
36-25-125,36,25,125,hindsight,83354,12475,23844,0,0.732821561226893,0.8677503788400606,4,3
36-50-75,36,50,75,fixed,148468,22531,13788,0,0.9051128955670213,0.9619524405506884,8,0
36-50-75,36,50,75,adaptive,148768,22555,13764,0,0.8934866443419884,0.9583658600052043,7,3
36-50-75,36,50,75,optimized,150034,22759,13560,0,0.8852295944965323,0.9541245433692974,7,4
36-50-75,36,50,75,hindsight,150088,22765,13554,0,0.8843765375726894,0.9541245433692974,7,2
36-50-100,36,50,100,fixed,118594,17935,18384,0,0.8626454766425643,0.9410452826529623,7,0
36-50-100,36,50,100,adaptive,119202,18015,18304,0,0.8424832444205127,0.9333957747944636,6,1
36-50-100,36,50,100,optimized,120498,18199,18120,0,0.8298612197314729,0.925280199252802,6,7
36-50-100,36,50,100,hindsight,120658,18215,18104,0,0.8279633252794324,0.925280199252802,6,3
36-50-125,36,50,125,fixed,88749,13342,22977,3,0.8109039146229845,0.9120472167573197,5,0
36-50-125,36,50,125,adaptive,89940,13499,22820,0,0.7721277092925712,0.890639239682333,5,3
36-50-125,36,50,125,optimized,90980,13639,22680,0,0.7571867318407536,0.8778501628664495,4,9
36-50-125,36,50,125,hindsight,91010,13639,22680,0,0.7540542188675943,0.8778501628664495,4,5
36-100-75,36,100,75,fixed,158998,24151,12168,0,0.9051128955670213,0.9619524405506884,8,0
36-100-75,36,100,75,adaptive,159814,24253,12066,0,0.9046016737064009,0.967885816235504,8,6
36-100-75,36,100,75,optimized,159898,24271,12048,0,0.9002189139303969,0.9611749680715198,8,1
36-100-75,36,100,75,hindsight,159862,24259,12060,0,0.900199256624858,0.9612541422380831,8,1
36-100-100,36,100,100,fixed,132634,20095,16224,0,0.8626454766425643,0.9410452826529623,7,0
36-100-100,36,100,100,adaptive,133586,20215,16104,0,0.8610223787775508,0.9387652331554034,6,7
36-100-100,36,100,100,optimized,133754,20239,16080,0,0.8549924441902027,0.9393516209476309,6,3
36-100-100,36,100,100,hindsight,133786,20239,16080,0,0.8548434209702078,0.9393516209476309,6,1
36-100-125,36,100,125,fixed,106270,16039,20280,0,0.8109039146229845,0.9120472167573197,5,0
36-100-125,36,100,125,adaptive,107360,16169,20150,0,0.8057590623417288,0.9073283745884648,5,8
36-100-125,36,100,125,optimized,107480,16189,20130,0,0.8009847596923981,0.9082236444873808,5,7
36-100-125,36,100,125,hindsight,107590,16199,20120,0,0.7987871311956368,0.9086648239394304,5,3
48-0-75,48,0,75,fixed,102994,15535,20784,0,0.8558155419300837,0.9374441465594281,6,0
48-0-75,48,0,75,adaptive,102994,15535,20784,0,0.8558155419300837,0.9374441465594281,6,0
48-0-75,48,0,75,optimized,102994,15535,20784,0,0.8558155419300837,0.9374441465594281,6,0
48-0-75,48,0,75,hindsight,102994,15535,20784,0,0.8558155419300837,0.9374441465594281,6,0
48-0-100,48,0,100,fixed,58653,8720,27599,121,0.7784458500371918,0.8917665249323541,5,0
48-0-100,48,0,100,adaptive,58653,8720,27599,121,0.7784458500371918,0.8917665249323541,5,0
48-0-100,48,0,100,optimized,58653,8720,27599,121,0.7784458500371918,0.8917665249323541,5,0
48-0-100,48,0,100,hindsight,58653,8720,27599,121,0.7784458500371918,0.8917665249323541,5,0
48-0-125,48,0,125,fixed,31291,4401,31918,2726,0.6654093077448092,0.8073747936158503,3,0
48-0-125,48,0,125,adaptive,31291,4401,31918,2726,0.6654093077448092,0.8073747936158503,3,0
48-0-125,48,0,125,optimized,31291,4401,31918,2726,0.6654093077448092,0.8073747936158503,3,0
48-0-125,48,0,125,hindsight,31291,4401,31918,2726,0.6654093077448092,0.8073747936158503,3,0
48-25-75,48,25,75,fixed,110794,16735,19584,0,0.8576978090033801,0.9384433264279373,6,0
48-25-75,48,25,75,adaptive,111760,16873,19446,0,0.8436904791366437,0.9332302936630603,6,6
48-25-75,48,25,75,optimized,114430,17251,19068,0,0.8145948647744943,0.9178925761204242,5,2
48-25-75,48,25,75,hindsight,114310,17239,19080,0,0.8143439215450781,0.9181166837256909,5,2
48-25-100,48,25,100,fixed,68765,10256,26063,49,0.7818923395393224,0.8939992355714104,5,0
48-25-100,48,25,100,adaptive,70010,10439,25880,0,0.7450024592788226,0.8723101040330625,4,7
48-25-100,48,25,100,optimized,73194,10895,25424,0,0.6994329074269158,0.8411313374454641,3,6
48-25-100,48,25,100,hindsight,73050,10879,25440,0,0.6967532491636373,0.841505695889054,3,2
48-25-125,48,25,125,fixed,32471,4527,31792,848,0.6720738823724689,0.8129832763891387,3,0
48-25-125,48,25,125,adaptive,30053,4260,32059,121,0.549621114967911,0.7129423410047018,2,8
48-25-125,48,25,125,optimized,32533,4620,31699,121,0.49183304565924796,0.6507012437152686,1,12
48-25-125,48,25,125,hindsight,32473,4620,31699,121,0.4833510440168267,0.6507012437152686,1,2
48-50-75,48,50,75,fixed,116878,17671,18648,0,0.8595652844049994,0.9394295795354307,6,0
48-50-75,48,50,75,adaptive,118768,17941,18378,0,0.8406190377780628,0.9306466729147141,6,6
48-50-75,48,50,75,optimized,120508,18205,18114,0,0.8290006901228321,0.9241674909330696,6,10
48-50-75,48,50,75,hindsight,120562,18205,18114,0,0.8266876992421559,0.923635248415457,6,5
48-50-100,48,50,100,fixed,76474,11455,24864,0,0.7852911993315109,0.8961824366889253,5,0
48-50-100,48,50,100,adaptive,79226,11855,24464,0,0.7426575116441548,0.873305749750321,4,3
48-50-100,48,50,100,optimized,81210,12127,24192,0,0.7254869850531719,0.8583961828536247,4,11
48-50-100,48,50,100,hindsight,81010,12103,24216,0,0.7215554262908491,0.8583961828536247,4,11
48-50-125,48,50,125,fixed,37221,5344,30975,105,0.6785750461150798,0.8183741844471875,3,0
48-50-125,48,50,125,adaptive,40440,5869,30450,0,0.5659027003026923,0.7281966438194281,2,10
48-50-125,48,50,125,optimized,41700,6029,30290,0,0.5491068664958875,0.7059575556123754,2,14
48-50-125,48,50,125,hindsight,41680,6029,30290,0,0.5409273831844498,0.7059575556123754,2,10
48-100-75,48,100,75,fixed,132322,20047,16272,0,0.8650811675298756,0.9423132391116239,7,0
48-100-75,48,100,75,adaptive,133366,20179,16140,0,0.8589167272515977,0.9447287615148413,6,4
48-100-75,48,100,75,optimized,133552,20215,16104,0,0.8538976944691367,0.9389773048309634,6,2
48-100-75,48,100,75,hindsight,133582,20221,16098,0,0.8535854000247635,0.9389773048309634,6,3
48-100-100,48,100,100,fixed,97066,14623,21696,0,0.7952138731747577,0.9024509206194367,5,0
48-100-100,48,100,100,adaptive,98314,14783,21536,0,0.781874830340921,0.9030955585464334,5,6
48-100-100,48,100,100,optimized,98650,14823,21496,0,0.7751987937241291,0.8926974664679582,5,7
48-100-100,48,100,100,hindsight,98506,14807,21512,0,0.7735055560039368,0.8926974664679582,5,3
48-100-125,48,100,125,fixed,61810,9199,27120,0,0.6971668010781401,0.8333611064822529,3,0
48-100-125,48,100,125,adaptive,63360,9379,26940,0,0.6668791596325435,0.8231827111984283,3,9
48-100-125,48,100,125,optimized,63590,9419,26900,0,0.6592794901542959,0.8060894709984692,3,9
48-100-125,48,100,125,hindsight,63530,9399,26920,0,0.6569167652044451,0.8074430660988706,3,4
60-0-75,60,0,75,fixed,69639,10402,25917,3,0.791128205599615,0.899888765294772,5,0
60-0-75,60,0,75,adaptive,69639,10402,25917,3,0.791128205599615,0.899888765294772,5,0
60-0-75,60,0,75,optimized,69639,10402,25917,3,0.791128205599615,0.899888765294772,5,0
60-0-75,60,0,75,hindsight,69639,10402,25917,3,0.791128205599615,0.899888765294772,5,0
60-0-100,60,0,100,fixed,28951,4041,32278,2282,0.6443570657537883,0.789103690685413,3,0
60-0-100,60,0,100,adaptive,28951,4041,32278,2282,0.6443570657537883,0.789103690685413,3,0
60-0-100,60,0,100,optimized,28951,4041,32278,2282,0.6443570657537883,0.789103690685413,3,0
60-0-100,60,0,100,hindsight,28951,4041,32278,2282,0.6443570657537883,0.789103690685413,3,0
60-0-125,60,0,125,fixed,7891,801,35518,7682,0.31547237572473097,0.4233233660828706,0,0
60-0-125,60,0,125,adaptive,7891,801,35518,7682,0.31547237572473097,0.4233233660828706,0,0
60-0-125,60,0,125,optimized,7891,801,35518,7682,0.31547237572473097,0.4233233660828706,0,0
60-0-125,60,0,125,hindsight,7891,801,35518,7682,0.31547237572473097,0.4233233660828706,0,0
60-25-75,60,25,75,fixed,79126,11863,24456,0,0.7984338808388701,0.9044516829533116,5,0
60-25-75,60,25,75,adaptive,80710,12079,24240,0,0.773824496798953,0.8907530238002341,5,8
60-25-75,60,25,75,optimized,83458,12487,23832,0,0.7333857036307463,0.8669768714930888,4,6
60-25-75,60,25,75,hindsight,83470,12487,23832,0,0.7312659531542572,0.8669768714930888,4,4
60-25-100,60,25,100,fixed,31541,4398,31921,695,0.6613290061980378,0.803899721448468,3,0
60-25-100,60,25,100,adaptive,30109,4272,32047,121,0.548246612711647,0.7126465452731354,2,13
60-25-100,60,25,100,optimized,32493,4608,31711,121,0.4888004600205073,0.6485604036806174,1,11
60-25-100,60,25,100,hindsight,32461,4608,31711,121,0.4831955317847205,0.6485604036806174,1,5
60-25-125,60,25,125,fixed,10231,1161,35158,5606,0.37440998010027204,0.4885703215807826,0,0
60-25-125,60,25,125,adaptive,158,6,36313,3251,0.008403207815603194,0.04580152671755725,0,8
60-25-125,60,25,125,optimized,309,0,36319,3415,0.015799875950458623,0.12005028284098052,0,10
60-25-125,60,25,125,hindsight,10,0,36319,3525,0.0005518763796909492,0.006622516556291391,0,2
60-50-75,60,50,75,fixed,86848,13051,23268,0,0.8055268905804468,0.9088016967126193,5,0
60-50-75,60,50,75,adaptive,89236,13387,22932,0,0.7754535023071595,0.8944936465152099,5,7
60-50-75,60,50,75,optimized,90976,13633,22686,0,0.7531231545144212,0.8786102971954792,4,8
60-50-75,60,50,75,hindsight,90892,13633,22686,0,0.751629235821922,0.8786102971954792,4,10
60-50-100,60,50,100,fixed,37453,5386,30933,99,0.6772875398397583,0.8173127987254382,3,0
60-50-100,60,50,100,adaptive,40302,5847,30472,0,0.5750995206586489,0.7399123818307586,2,10
60-50-100,60,50,100,optimized,41662,6023,30296,0,0.5468734395410364,0.7099511442530213,2,17
60-50-100,60,50,100,hindsight,41574,6015,30304,0,0.54030275436075,0.7054873813382727,2,10
60-50-125,60,50,125,fixed,12571,1521,34798,3986,0.4243907241214513,0.5427153491669621,1,0
60-50-125,60,50,125,adaptive,1063,2,36317,1537,0.0830809087092962,0.17938931297709923,0,38
60-50-125,60,50,125,optimized,836,0,36319,1375,0.033641856401370705,0.1456953642384106,0,13
60-50-125,60,50,125,hindsight,486,0,36319,1445,0.01697503047182013,0.06348208673790069,0,5
60-100-75,60,100,75,fixed,105646,15943,20376,0,0.8169063104864089,0.9156175569921742,5,0
60-100-75,60,100,75,adaptive,107158,16141,20178,0,0.7996550387204105,0.9096612296110415,5,9
60-100-75,60,100,75,optimized,107380,16171,20148,0,0.797267220984612,0.9068074262832181,5,10
60-100-75,60,100,75,hindsight,107380,16165,20154,0,0.7957838971338266,0.9065352318364367,5,5
60-100-100,60,100,100,fixed,61498,9151,27168,0,0.7019089215643303,0.8370832649039252,3,0
60-100-100,60,100,100,adaptive,63450,9399,26920,0,0.6624527692678363,0.8091451292246521,3,12
60-100-100,60,100,100,optimized,63602,9415,26904,0,0.6580157546173023,0.808705398841771,3,10
60-100-100,60,100,100,hindsight,63514,9391,26928,0,0.6552962261388712,0.808705398841771,3,7
60-100-125,60,100,125,fixed,19545,2612,33707,253,0.493368984176408,0.631062183873847,1,0
60-100-125,60,100,125,adaptive,19580,2599,33720,0,0.3847257702430991,0.569377990430622,1,20
60-100-125,60,100,125,optimized,19690,2609,33710,0,0.36722395474983016,0.5180722891566265,0,16
60-100-125,60,100,125,hindsight,19580,2609,33710,0,0.35475187359908356,0.4840790004030633,0,9
72-0-75,72,0,75,fixed,39164,5571,30748,476,0.7200526996537141,0.8509548206800186,4,0
72-0-75,72,0,75,adaptive,39164,5571,30748,476,0.7200526996537141,0.8509548206800186,4,0
72-0-75,72,0,75,optimized,39164,5571,30748,476,0.7200526996537141,0.8509548206800186,4,0
72-0-75,72,0,75,hindsight,39164,5571,30748,476,0.7200526996537141,0.8509548206800186,4,0
72-0-100,72,0,100,fixed,13351,1641,34678,6962,0.43945914748128095,0.561793906196508,1,0
72-0-100,72,0,100,adaptive,13351,1641,34678,6962,0.43945914748128095,0.561793906196508,1,0
72-0-100,72,0,100,optimized,13351,1641,34678,6962,0.43945914748128095,0.561793906196508,1,0
72-0-100,72,0,100,hindsight,13351,1641,34678,6962,0.43945914748128095,0.561793906196508,1,0
72-0-125,72,0,125,fixed,0,0,36319,15725,0.0,0.0,0,0
72-0-125,72,0,125,adaptive,0,0,36319,15725,0.0,0.0,0,0
72-0-125,72,0,125,optimized,0,0,36319,15725,0.0,0.0,0,0
72-0-125,72,0,125,hindsight,0,0,36319,15725,0.0,0.0,0,0
72-25-75,72,25,75,fixed,50087,7424,28895,373,0.7328645835392439,0.8604026845637583,4,0
72-25-75,72,25,75,adaptive,49437,7258,29061,3,0.6650346366271802,0.8133478024959305,3,8
72-25-75,72,25,75,optimized,52509,7702,28617,3,0.612886791698316,0.77237018585936,2,11
72-25-75,72,25,75,hindsight,52401,7690,28629,3,0.6093531742362129,0.7708465945257797,2,7
72-25-100,72,25,100,fixed,15847,2025,34294,4730,0.48331552094959185,0.618698441796517,1,0
72-25-100,72,25,100,adaptive,831,18,36301,1843,0.037935089178395394,0.10559006211180125,0,25
72-25-100,72,25,100,optimized,746,0,36319,1777,0.03244341684961942,0.11502199874292897,0,18
72-25-100,72,25,100,hindsight,367,0,36319,1857,0.012402656417069578,0.046357615894039736,0,6
72-25-125,72,25,125,fixed,31,0,36319,12461,0.00162371673999581,0.01948460087994972,0,0
72-25-125,72,25,125,adaptive,0,0,36319,11021,0.0,0.0,0,0
72-25-125,72,25,125,optimized,191,0,36319,10561,0.010004190236748376,0.12005028284098052,0,10
72-25-125,72,25,125,hindsight,0,0,36319,10061,0.0,0.0,0,0
72-50-75,72,50,75,fixed,58781,8720,27599,49,0.7328645835392439,0.8604026845637583,4,0
72-50-75,72,50,75,adaptive,60394,8935,27384,0,0.6728322983100125,0.822316234796404,3,10
72-50-75,72,50,75,optimized,61348,9073,27246,0,0.6476722696905687,0.800348229831689,3,13
72-50-75,72,50,75,hindsight,61168,9043,27276,0,0.6423099833187383,0.8012709416522241,3,8
72-50-100,72,50,100,fixed,15847,2025,34294,2570,0.48331552094959185,0.618698441796517,1,0
72-50-100,72,50,100,adaptive,3616,74,36245,187,0.13007942499362943,0.23513062812673707,0,39
72-50-100,72,50,100,optimized,4331,96,36223,145,0.13134488132338434,0.2126537785588752,0,32
72-50-100,72,50,100,hindsight,3131,20,36299,109,0.08460030134435798,0.17779090372120496,0,16
72-50-125,72,50,125,fixed,31,0,36319,9761,0.00162371673999581,0.01948460087994972,0,0
72-50-125,72,50,125,adaptive,407,0,36319,8601,0.03232833842039454,0.16030534351145037,0,47
72-50-125,72,50,125,optimized,381,0,36319,8371,0.010485651214128035,0.12582781456953643,0,17
72-50-125,72,50,125,hindsight,0,0,36319,7201,0.0,0.0,0,1
72-100-75,72,100,75,fixed,78970,11839,24480,0,0.7566930872066494,0.8772293654085441,4,0
72-100-75,72,100,75,adaptive,80992,12097,24222,0,0.728090208054016,0.8582677165354331,4,10
72-100-75,72,100,75,optimized,81094,12121,24198,0,0.7222571507878922,0.857847976307996,4,10
72-100-75,72,100,75,hindsight,80926,12097,24222,0,0.7199162669209559,0.8563897991166833,4,6
72-100-100,72,100,100,fixed,26729,3764,32555,85,0.5556291895667159,0.7022881569021876,2,0
72-100-100,72,100,100,adaptive,28346,3975,32344,0,0.4653749742398252,0.6261682242990654,1,18
72-100-100,72,100,100,optimized,28506,3983,32336,0,0.45121791582739745,0.6033500837520938,1,16
72-100-100,72,100,100,hindsight,28418,3967,32352,0,0.4419134362246487,0.6011807149885209,1,7
72-100-125,72,100,125,fixed,215,0,36319,4481,0.011494738874785181,0.06976744186046512,0,0
72-100-125,72,100,125,adaptive,119,0,36319,4081,0.024870304792970258,0.1044776119402985,0,19
72-100-125,72,100,125,optimized,433,0,36319,3901,0.017016234688396987,0.12582781456953643,0,14
72-100-125,72,100,125,hindsight,0,0,36319,3961,0.0,0.0,0,1
